Gene	TSS	Coverage

SIX5	chr19_46272497	2.01112303996
CREG2	chr2_102003965	5.33890753228
BCAR1	chr16_75299905	1.40998495412
ATXN2L	chr16_28834368	1.45526375777
ZNF672	chr1_249132376	0.491116010697
FGF14	chr13_103054124	3.46408745063
OR7A5	chr19_14939276	4.67859236188
MAP1LC3B2	chr12_116997185	4.69108403328
GRPEL1	chr4_7069800	2.0595223883
LCN9	chr9_138555167	5.78871993452
PLA2G15	chr16_68279246	1.1605456182
BTN1A1	chr6_26501494	4.56428387437
FAM183A	chr1_43613593	2.49614463868
CPEB2	chr4_15004297	2.06126894839
HSPBP1	chr19_55791751	1.53320065885
CBX5	chr12_54673915	1.39800235213
CAV1	chr7_116166346	4.38532513185
C16orf89	chr16_5116146	5.25108477973
SERF2	chr15_44084574	1.93947476501
ETV7	chr6_36355568	5.58021842258
AKR1B1	chr7_134143888	5.4510618554
TAAR8	chr6_132873831	2.4739395949
CTSC	chr11_88070941	1.58786280268
FBXO10	chr9_37576250	4.87677347985
C1QTNF7	chr4_15429628	3.14499116638
ABI2	chr2_204192961	3.63931533367
CECR6	chr22_17602257	2.55485605627
RRBP1	chr20_17662928	1.42187542724
ENTPD1	chr10_97515408	3.71643198558
MTF2	chr1_93544791	1.45287105649
COG7	chr16_23464512	1.99137503355
APOE	chr19_45409277	3.95038154143
CHPF2	chr7_150929574	1.49864646614
IRAK4	chr12_44152746	0.756385954156
ZNF347	chr19_53662322	1.7256526244
HDAC3	chr5_141016423	2.12572290585
ATP2C1	chr3_130613433	2.16683688125
NDRG1	chr8_134309547	1.86223870617
ABI3	chr17_47287588	4.12834786874
ETFDH	chr4_159593252	0.96396360627
ITGB4	chr17_73717515	1.497389348
KRT32	chr17_39623638	5.76365155092
MYL1	chr2_211179895	4.34300422856
NPFF	chr12_53901422	4.38537119367
RMND5A	chr2_86947413	1.30298476396
HECTD2	chr10_93170041	2.01187366251
SDS	chr12_113841692	4.94533204229
CBX1	chr17_46178883	1.08160893594
PRDM2	chr1_14075875	0.654916325806
TMEM229B	chr14_67982021	2.88863953087
WDR6	chr3_49044636	3.21115732785
ECHDC1	chr6_127663552	3.36019807055
NEK5	chr13_52703228	4.84710742684
EGR2	chr10_64578927	2.71566684881
LMF1	chr16_1020984	2.35229297705
FAM171B	chr2_187558788	3.11808976342
DDT	chr22_24322019	1.75381413562
NR2C2	chr3_14989090	1.38926456646
OPCML	chr11_132813037	4.39428170581
ENO1	chr1_8939151	2.71035199332
TAF12	chr1_28969604	2.15573463294
TTC1	chr5_159436106	1.34296041917
PRSS3	chr9_33795558	4.57322354887
RTF1	chr15_41709301	2.00800744222
MYL12A	chr18_3252210	2.48163036475
ATP6V1G1	chr9_117349993	0.626711560244
TINF2	chr14_24711880	2.54368609433
ZNF467	chr7_149470295	3.2801153897
SPATA13	chr13_24844824	7.56259710232
OR1F1	chr16_3254246	4.96654275462
MXI1	chr10_111967362	2.53174640069
ARL4D	chr17_41476352	2.14738122758
FERD3L	chr7_19185044	4.32397822974
ZNF131	chr5_43121609	0.299213086987
TTI1	chr20_36661870	2.57937410482
LRRC52	chr1_165513477	2.55708673902
RANBP2	chr2_109335936	1.95289333115
SPDYE2	chr7_102290771	4.50723885207
ELAVL4	chr1_50571936	6.33137734455
RNF166	chr16_88770025	4.82422570928
ZNF775	chr7_150076405	1.09494261427
ATF5	chr19_50431958	2.97363947031
RANGRF	chr17_8191968	3.01898421533
ATL2	chr2_38603672	4.29202316827
RNF122	chr8_33424646	2.82303248158
GAS8	chr16_90086036	0.63617379781
KRTAP10-11	chr21_46066330	5.01442426587
SLC12A5	chr20_44657820	3.36501149675
CNTN3	chr3_74570291	2.75429339211
HS3ST1	chr4_11430537	3.3790297225
OR5AK2	chr11_56756388	3.05207375065
CTSO	chr4_156875048	3.99824414254
CCNH	chr5_86708721	3.2778756869
PPFIBP2	chr11_7626964	4.43899485876
PDS5B	chr13_33160563	0.2165042877
TNFRSF14	chr1_2487803	2.85084863831
IFI30	chr19_18284589	4.21237588911
OSGIN2	chr8_90914095	4.71626355084
NOB1	chr16_69788871	1.17534608973
CRYGB	chr2_209010877	4.81866659645
ABCA2	chr9_139922740	0.702791951028
ATP8B3	chr19_1812275	0.93949932315
TNS1	chr2_218808796	3.89491649069
FGR	chr1_27952751	5.34772008365
DKK1	chr10_54074040	4.79614123877
CDK15	chr2_202671301	5.13765149311
FGD4	chr12_32654976	4.57623170525
FRMD6	chr14_52118575	0.225573802388
EBF1	chr5_158526788	3.62496172
RAB18	chr10_27793102	1.46531810767
OR6K6	chr1_158724605	3.97344663359
KCNJ9	chr1_160051359	4.47938799667
STMN1	chr1_26232993	2.57606126987
C11orf57	chr11_111944967	3.89054595336
ENO3	chr17_4854383	2.39169500672
PABPC1	chr8_101734315	2.04829040772
CIB1	chr15_90808991	2.50760056201
KRTAP5-2	chr11_1619524	3.28393174009
ERBB2	chr17_37844336	2.68880554719
EXOSC7	chr3_45017740	0.35999678847
SETMAR	chr3_4344987	2.4432238479
LTBP1	chr2_33359663	4.71776270631
CMTM3	chr16_66638633	1.87734792665
PABPC4	chr1_40042521	2.25341288154
EMILIN1	chr2_27301434	3.0548884966
YEATS4	chr12_69753489	1.82872805887
OMP	chr11_76813885	5.71947301821
MAPK11	chr22_50708822	2.19476413115
ACTR3B	chr7_152456833	0.505373074659
ST3GAL3	chr1_44173203	1.21823092774
TMEM100	chr17_53809482	3.58029885484
RAB27A	chr15_55563107	4.92007438552
C1orf54	chr1_150245182	3.92465943072
C10orf99	chr10_85933553	4.09738376507
USP6NL	chr10_11574279	5.46371030819
NCAM2	chr21_22370632	2.05374978296
NUP35	chr2_183989082	1.01737227247
SERPINB11	chr18_61369537	6.27362012564
SOCS2	chr12_93964174	1.91568484998
LGALS14	chr19_40194945	5.53170365441
CHRND	chr2_233390869	3.14015290926
HIRA	chr22_19419219	0.232412814948
KLHL3	chr5_137042116	5.18580888516
LIMS2	chr2_128405828	4.41367965441
ATP6V0B	chr1_44440319	5.5504988379
OR7C2	chr19_15052300	4.42345739359
PHLDA1	chr12_76425556	4.55950622221
RAB32	chr6_146864827	2.41686417987
ZNRD1	chr6_30029016	2.57025733149
CCT6B	chr17_33288528	1.46230328037
IGSF9B	chr11_133826649	4.39428170581
PRKACB	chr1_84543657	2.47846008784
FBRSL1	chr12_133067156	0.166534788725
RAB42	chr1_28919006	2.35081890671
ZNF577	chr19_52391229	3.39998472465
CREG1	chr1_167523056	0.941517854688
STON1-GTF2A1L	chr2_48796158	4.42738324307
NR2F2	chr15_96874110	3.45344255992
FBXO7	chr22_32870706	1.65369713923
SIRT4	chr12_120740123	0.810702864568
PDHA2	chr4_96761238	5.98129572958
AEBP2	chr12_19593514	1.95227657251
MRPL55	chr1_228297013	2.83224407471
ATF6	chr1_161736033	1.37146248063
COMMD9	chr11_36310999	2.6502108216
PRKRIP1	chr7_102036803	1.02628957018
TECR	chr19_14640378	0.601112986058
CXCL2	chr4_74964997	3.80566313637
TSPYL4	chr6_116575261	1.613076798
DEDD2	chr19_42721944	1.11182135615
AMMECR1L	chr2_128642434	3.28284558146
NAPA	chr19_48018515	0.85961877944
TSHR	chr14_81421868	4.51052842668
PLAGL1	chr6_144385735	3.03487104181
SMC2	chr9_106856830	1.7629877606
SARS	chr1_109756514	1.03068734289
SSR3	chr3_156272989	0.986373165022
HCK	chr20_30639990	4.47657524073
RSPRY1	chr16_57220195	0.186783024959
C1QTNF7	chr4_15341559	4.75959082223
NRXN3	chr14_78870073	7.00167053743
FAM69C	chr18_72124503	0.871548852733
GART	chr21_34914464	4.29082155212
ZNF566	chr19_36980463	3.80635311342
TRPM3	chr9_73736514	4.47311276826
CSTF2T	chr10_53459355	2.71080959987
PRR5	chr22_45064426	2.8082925848
STT3B	chr3_31573992	0.00719370357813
DTNB	chr2_25875529	3.58807669322
KLC3	chr19_45843997	4.15794609918
RNASE1	chr14_21270558	4.83573829415
OR4K1	chr14_20403766	3.56228294287
FGF18	chr5_170846666	2.52334621136
ZNF555	chr19_2841432	0.605562767629
YWHAG	chr7_75988342	1.45621582871
ZNF761	chr19_53935226	1.0394865248
SMAD3	chr15_67458492	7.32590113991
STOML1	chr15_74284689	1.03716121317
TP53I11	chr11_44971759	2.78142904045
SLC38A1	chr12_46663208	3.43041471419
SIX1	chr14_61116155	2.97144245645
DNAJC14	chr12_56223420	0.825080135984
RTKN	chr2_74669060	2.75232380061
C1QTNF9B	chr13_24471145	4.4676653374
PTGER4	chr5_40680031	1.78077820267
GRHPR	chr9_37422706	1.32186414932
PPEF2	chr4_76823681	5.13895178816
RFX7	chr15_56535483	1.54341355859
CALHM2	chr10_105212162	3.99627630075
IL3	chr5_131396346	6.56444688191
C21orf58	chr21_47738134	3.62317240727
SLC16A3	chr17_80193649	6.03501385435
