Gene	TSS	Coverage

SIX5	chr19_46272497	3.38147672494
CREG2	chr2_102003965	6.89421319512
BCAR1	chr16_75299905	5.47677369382
ATXN2L	chr16_28834368	3.8695591817
ZNF672	chr1_249132376	4.14312216323
FGF14	chr13_103054124	5.26408943754
OR7A5	chr19_14939276	6.97943428423
MAP1LC3B2	chr12_116997185	6.51335260721
GRPEL1	chr4_7069800	6.07061267746
LCN9	chr9_138555167	6.12187835801
PLA2G15	chr16_68279246	5.07433094437
BTN1A1	chr6_26501494	6.65427350846
FAM183A	chr1_43613593	7.6330175037
CPEB2	chr4_15004297	2.80865125019
HSPBP1	chr19_55791751	3.53736014154
CBX5	chr12_54673915	2.52987794353
CAV1	chr7_116166346	4.27885646131
C16orf89	chr16_5116146	5.6644498191
SERF2	chr15_44084574	3.64549931793
ETV7	chr6_36355568	7.3102059289
AKR1B1	chr7_134143888	8.08869587422
TAAR8	chr6_132873831	7.90708218467
CTSC	chr11_88070941	5.03647299746
FBXO10	chr9_37576250	6.41455644111
C1QTNF7	chr4_15429628	8.57507178453
ABI2	chr2_204192961	4.27568974695
CECR6	chr22_17602257	5.29033723556
RRBP1	chr20_17662928	4.07457558254
ENTPD1	chr10_97515408	8.13957591925
MTF2	chr1_93544791	3.7654634178
COG7	chr16_23464512	4.81119621974
APOE	chr19_45409277	4.97588452618
CHPF2	chr7_150929574	6.01353206868
IRAK4	chr12_44152746	4.35582165847
ZNF347	chr19_53662322	4.48385622336
HDAC3	chr5_141016423	5.66923315341
ATP2C1	chr3_130613433	3.76627586059
NDRG1	chr8_134309547	4.36456652372
ABI3	chr17_47287588	6.78299490537
ETFDH	chr4_159593252	3.5726615853
ITGB4	chr17_73717515	5.8155293558
KRT32	chr17_39623638	8.17907691158
MYL1	chr2_211179895	7.07635708717
NPFF	chr12_53901422	6.61813034593
RMND5A	chr2_86947413	3.77073173348
HECTD2	chr10_93170041	4.35940033821
SDS	chr12_113841692	7.91779170253
CBX1	chr17_46178883	3.95641620197
PRDM2	chr1_14075875	5.27909754791
TMEM229B	chr14_67982021	6.24736473974
WDR6	chr3_49044636	4.94640322575
ECHDC1	chr6_127663552	7.53575138772
NEK5	chr13_52703228	5.68300806732
EGR2	chr10_64578927	5.6587457137
LMF1	chr16_1020984	4.90285692858
FAM171B	chr2_187558788	4.52584768769
DDT	chr22_24322019	4.35861117473
NR2C2	chr3_14989090	4.28906220128
OPCML	chr11_132813037	6.85077146438
ENO1	chr1_8939151	4.8572178566
TAF12	chr1_28969604	4.69727940969
TTC1	chr5_159436106	5.30224604044
PRSS3	chr9_33795558	13.9527284148
RTF1	chr15_41709301	3.92122251516
MYL12A	chr18_3252210	7.27230685819
ATP6V1G1	chr9_117349993	3.43003447756
TINF2	chr14_24711880	4.62712769937
ZNF467	chr7_149470295	1.74045174392
SPATA13	chr13_24844824	7.03879458368
OR1F1	chr16_3254246	7.7505909687
MXI1	chr10_111967362	3.93258386429
ARL4D	chr17_41476352	4.96460615042
FERD3L	chr7_19185044	7.32036225576
ZNF131	chr5_43121609	4.32838116001
TTI1	chr20_36661870	5.0179875125
LRRC52	chr1_165513477	4.44766945136
RANBP2	chr2_109335936	4.04471420276
SPDYE2	chr7_102290771	4.45572361482
ELAVL4	chr1_50571936	8.07175378233
RNF166	chr16_88770025	7.43098433824
ZNF775	chr7_150076405	3.91205136589
ATF5	chr19_50431958	3.47633176336
RANGRF	chr17_8191968	5.98155706721
ATL2	chr2_38603672	4.4348185251
RNF122	chr8_33424646	3.66880247206
GAS8	chr16_90086036	4.85993535071
KRTAP10-11	chr21_46066330	5.68708838657
SLC12A5	chr20_44657820	5.3125864774
CNTN3	chr3_74570291	7.32502470987
HS3ST1	chr4_11430537	6.38043200912
OR5AK2	chr11_56756388	8.82182119991
CTSO	chr4_156875048	5.71059676226
CCNH	chr5_86708721	5.63293548836
PPFIBP2	chr11_7626964	6.92358249817
PDS5B	chr13_33160563	3.3524966738
TNFRSF14	chr1_2487803	4.72727274511
IFI30	chr19_18284589	4.22542838601
OSGIN2	chr8_90914095	3.73401824317
NOB1	chr16_69788871	4.64477660679
CRYGB	chr2_209010877	6.68045936276
ABCA2	chr9_139922740	5.01498729741
ATP8B3	chr19_1812275	4.33257693954
TNS1	chr2_218808796	7.71707079805
FGR	chr1_27952751	6.24150841151
DKK1	chr10_54074040	3.83665440796
CDK15	chr2_202671301	7.57653416118
FGD4	chr12_32654976	6.37888916791
FRMD6	chr14_52118575	2.95794854038
EBF1	chr5_158526788	5.50656491456
RAB18	chr10_27793102	4.23285240086
OR6K6	chr1_158724605	9.11539288137
KCNJ9	chr1_160051359	7.27925249993
STMN1	chr1_26232993	4.59026572694
C11orf57	chr11_111944967	5.6954307244
ENO3	chr17_4854383	5.7411432881
PABPC1	chr8_101734315	2.87511581854
CIB1	chr15_90808991	5.59043285016
KRTAP5-2	chr11_1619524	7.03151661451
ERBB2	chr17_37844336	4.21951062166
EXOSC7	chr3_45017740	4.43987106341
SETMAR	chr3_4344987	5.5537528323
LTBP1	chr2_33359663	4.3941779165
CMTM3	chr16_66638633	5.17264973505
PABPC4	chr1_40042521	4.44105059065
EMILIN1	chr2_27301434	6.74272201784
YEATS4	chr12_69753489	3.27440962594
OMP	chr11_76813885	8.20236297024
MAPK11	chr22_50708822	4.95671320226
ACTR3B	chr7_152456833	4.07148843212
ST3GAL3	chr1_44173203	6.22232033545
TMEM100	chr17_53809482	7.59250873625
RAB27A	chr15_55563107	9.0736785747
C1orf54	chr1_150245182	7.05212684333
C10orf99	chr10_85933553	7.50297246319
USP6NL	chr10_11574279	7.63789758783
NCAM2	chr21_22370632	5.23309835608
NUP35	chr2_183989082	5.15850958414
SERPINB11	chr18_61369537	7.66370400929
SOCS2	chr12_93964174	4.0440573326
LGALS14	chr19_40194945	8.90077522674
CHRND	chr2_233390869	7.01408654708
HIRA	chr22_19419219	4.09653094134
KLHL3	chr5_137042116	8.89621894014
LIMS2	chr2_128405828	5.89005847124
ATP6V0B	chr1_44440319	5.53468561712
OR7C2	chr19_15052300	6.01441694634
PHLDA1	chr12_76425556	5.65297505374
RAB32	chr6_146864827	7.86977713994
ZNRD1	chr6_30029016	4.74725992091
CCT6B	chr17_33288528	5.03557808191
IGSF9B	chr11_133826649	5.00055932752
PRKACB	chr1_84543657	4.95822669421
